route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
5871,,01,Metro Hopper - Northwest Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route01.php,00BCE4,FFFFFF,sjrtd_2015_0127
5872,,02,Metro Hopper - Northwest Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route02.php,47AA42,FFFFFF,sjrtd_2015_0127
5873,,03,Metro Hopper - North Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route03.php,ffbd3d,000000,sjrtd_2015_0127
5874,,04,Metro Hopper - Central Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route04.php,D31145,FFFFFF,sjrtd_2015_0127
5875,,05,Metro Hopper - Central Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route05.php,FF6600,FFFFFF,sjrtd_2015_0127
5876,,06,Metro Hopper - Northeast Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route06.php,A54399,FFFFFF,sjrtd_2015_0127
5877,,07,Metro Hopper - South Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route07.php,0055A5,FFFFFF,sjrtd_2015_0127
5878,,08,Metro Hopper - Northeast Stockton,"Each Metro Hopper bus can deviate up to 1 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-946-0520.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route08.php,F06C9B,FFFFFF,sjrtd_2015_0127
5889,,23,Stockton - Lodi,Intercity service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route23.php,09BCDC,000000,sjrtd_2015_0127
5890,,310,DTC-ACE-8TH,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route310.php,FF0000,FFFFFF,sjrtd_2015_0127
5891,,315,DTC - MLK,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route315.php,f26f72,FFFFFF,sjrtd_2015_0127
5892,,340,Franklin HS - West Ln - Cesar Chavez HS,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route340-350.php,ff9c1b,000000,sjrtd_2015_0127
5893,,345,Kermit - Hammer - Kaiser,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route340-350.php,ffb81f,000000,sjrtd_2015_0127
5894,,360,Franklin HS - Alpine - Cesar Chavez HS,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route360-390.php,AD7D07,FFFFFF,sjrtd_2015_0127
5895,,365,Kelly - Don - Otto,Limited weekday service to Mall Transfer Station,3,http://sanjoaquinrtd.com/maps_and_schedules/Route365.php,8fbbe6,FFFFFF,sjrtd_2015_0127
5896,,375,CalWorks - Cherokee - Holman - Morada,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route375.php,ca9dc2,000000,sjrtd_2015_0127
5897,,380,Franklin HS - DTC - Edison HS,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route370-380.php,7B7E01,FFFFFF,sjrtd_2015_0127
5930,,385,DTC-ARCH,,3,,FF0000,FFFFFF,sjrtd_2015_0127
5898,,390,Franklin HS - DTC,Limited weekday crosstown service,3,http://sanjoaquinrtd.com/maps_and_schedules/Route360-390.php,ffe8b6,000000,sjrtd_2015_0127
5899,,40,Metro Express - Pacific Avenue,High-frequency express service arriving up to every 10 minutes during peak times,3,http://sanjoaquinrtd.com/maps_and_schedules/Route40.php,98012E,FFFFFF,sjrtd_2015_0127
5900,,43,Metro Express - Hammer Lane,High-frequency express service arriving up to every 10 minutes during peak times,3,http://sanjoaquinrtd.com/maps_and_schedules/Route43.php,98012E,FFFFFF,sjrtd_2015_0127
5901,,44,Metro Express - Airport Way,High-frequency express service arriving up to every 10 minutes during peak times,3,http://sanjoaquinrtd.com/maps_and_schedules/Route40.php,98012E,FFFFFF,sjrtd_2015_0127
5931,,51,DTC - San Joaquin - Eldorado,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route51.php,EF3E36,FFFFFF,sjrtd_2015_0127
5903,,52,Hospitals - DTC,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route52.php,D28417,FFFFFF,sjrtd_2015_0127
5904,,54,DTC - Amtrak - San Joaquin,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route54.php,C1D72D,000000,sjrtd_2015_0127
5905,,55,DTC - Amtrak - MLK - Weston Ranch,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route55.php,619080,000000,sjrtd_2015_0127
5906,,554,Rural Connection - Mtn. House,,3,http://sanjoaquinrtd.com/mobility/default.php,BA1340,FFFFFF,sjrtd_2015_0127
5907,,60,DTC - Fremont - Monte Diablo,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route60.php,B6BCD4,000000,sjrtd_2015_0127
5908,,61,DTC - Pershing - Malls,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route61.php,99005D,FFFFFF,sjrtd_2015_0127
5909,,63,Malls - Cumberland,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route63.php,FFD006,000000,sjrtd_2015_0127
5910,,66,Hammer - Spanos Park,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route66.php,D60D8D,FFFFFF,sjrtd_2015_0127
5911,,70,DTC - ElDorado - Knickerbocker,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route70.php,706017,FFFFFF,sjrtd_2015_0127
5912,,71,Malls - Claremont - Holman-Auto Center,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route71.php,7686C2,FFFFFF,sjrtd_2015_0127
5919,,76,Sanguinetti - Alpine - Sutter,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route76.php,305591,FFFFFF,sjrtd_2015_0127
5920,,77,DTC - Miner - Filbert - Waterloo,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route77.php,008C55,FFFFFF,sjrtd_2015_0127
5932,,80,Section - Oro - Malls,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route80.php,F5C283,000000,sjrtd_2015_0127
5923,,83,DTC - Main - Myrtle - sOro,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route83.php,BCA5D4,000000,sjrtd_2015_0127
5924,,85,DTC - Airport - Ralph - B St,,3,http://sanjoaquinrtd.com/maps_and_schedules/Route85.php,09927a,FFFFFF,sjrtd_2015_0127
5925,,90,Stockton - Lathrop - Tracy,"Many County Hopper bus can deviate up to 3/4 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-982-4514. Hoppers do not deviate in Lodi or Tracy where Grapeline and Tracer service is available.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route90.php,45ad00,000000,sjrtd_2015_0127
5926,,91,Stockton - Manteca - Ripon,"Many County Hopper bus can deviate up to 3/4 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-982-4514. Hoppers do not deviate in Lodi or Tracy where Grapeline and Tracer service is available.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route91.php,45AD00,000000,sjrtd_2015_0127
5927,,93,Stockton - Lodi,"Many County Hopper bus can deviate up to 3/4 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-982-4514. Hoppers do not deviate in Lodi or Tracy where Grapeline and Tracer service is available.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route93.php,45AD00,000000,sjrtd_2015_0127
5928,,97,Tracy - Manteca,"Many County Hopper bus can deviate up to 3/4 mile from its route to accommodate ADA certified passengers. To reserve a deviation, call 209-982-4514. Hoppers do not deviate in Lodi or Tracy where Grapeline and Tracer service is available.",3,http://sanjoaquinrtd.com/maps_and_schedules/Route97.php,09a311,FFFFFF,sjrtd_2015_0127
